Res	Resprod
	"[Source : prompteur France 2]
     Voila pour cet entretien exclusif enregistré, en toute fin d'après-midi, à Téhéran...
     
     En France, certains en sont persuadés: on nous cacherait des choses, depuis des années, sur les ZOVNI...
     Ils fascinent et alimentent  tous les fantasmes...
     C'est certainement pour tordre le cou à toutes les rumeurs que, pour la première fois, le Centre national d'études spatiales ouvre ses archives au grand public...
     Alors... révélations ou pas?...
     Les explications de Muriel Lassaga, Olivier Combes
     Et le site, qui a ouvert aujourd'hui est déjà victime de son succès...
     En milieu d'après-midi, il était saturé par le nombre de connections... donc très difficile d'accès"
"[Source : documentation France 3]
     Le Centre spatial de Toulouse conserve 6000 témoignages, concernant 1650 cas d'observation d'OVNI, sous la direction de Jacques Patenet. Le CNES veut ainsi mettre fin au mythe du complot.  
     En 1971 un pilote de mirage poursuivit par un OVNI.  
     En janvier 1981 une soucoupe métallique se pose dans un jardin à Trans en Provence, laissant des traces au sol.  
     Janvier 1994, un airbus d'Air France a croisé un gigantesque disque.  
     Aujourd'hui le tiers des cas restent inexpliqué.  
     A Cier de Rivière, en 1954, un homme en charrette a vu un objet métallique sortir d'un buisson, aspirer la jument puis qui disparaît dans le ciel.  
     Jean Jacques Velasco a été responsable du service du CNES durant 30 ans et a pu consulter 30.000 documents américains déclassifiés.  
     Claude Poher, premier directeur du service en 1977, avait du démissionné."	
	"[Source : prompteur France 2]
     
     Il y a des métiers qu'on ne soupçonne parfois pas du tout...
     Celui-ci en est un : ramasseur de poussières d'étoiles...
     Ce n'est pas une blague... c'est même un travail très sérieux...
     Il est indispensable pour comprendre notre univers...
     Mais comment fait-on pour remplir une telle mission ?...
     La réponse avec Agnes MONTEUX et Mathieu NIVENGLOWSKI"
"- Au CNES, Centre national d'études spatiales, réunion à propos de phénomènes aériens non identifiés observés en Norvège.
- Témoignage d'un pilote de ligne anglais.
- Au centre radar de Brest, un contrôleur aérien enquête sur les phénomènes lumineux signalés par les pilotes pour le compte du GEIPAN, groupe d'étude et d'informations sur les phénomènes aérospatiaux non identifiés, un service du CNES.
- La Direction générale de la Gendarmerie nationale, à Paris, centralise les procès verbaux d'observations réalisées dans toute la France de PAN, phénomènes aérospatiaux non identifiés, qui sont ensuite transmis au GEIPAN.
- Un ancien pilote témoigne sur ce qu'il a vu en 1975. 
- Un expert du GEIPAN est chargé d'analyser photos et vidéos afin de débusquer les supercheries.
- A l'école nationale d'aviation civile, l'ENAC, à Toulouse, les futurs aiguilleurs du ciel suivent un cours sur les phénomènes aériens non identifiés.
- En 1999, des militaires français publient le rapport Cometa qui  appelle à prendre au sérieux ces phénomènes inexpliqués. En 2007, des questionnaires sont envoyés à tous les pilotes de l'armée pour recueillir des informations sur les PAN qui seront transmises au CNES.
- En Norvège, à Hessdalen, de très nombreux phénomènes lumineux ont été signalés par les habitants. Des stations d'observation ont été installées, les journalistes sur place assistent à l'une de ces apparitions lumineuses.
- Institut de radioastronomie à Medicina, en Italie, où sont traitées les données d'Hessdalen.
- Au Pérou comme au Chili l'étude de ces phénomènes relève d'un organisme dépendant de l'Armée de l'air qui recueille les témoignages de pilotes. L'un d'eux raconte ce qu'il a vu.
- Aux Etats-Unis, depuis 1969, les enquêtes sont officiellement abandonnées, les ovnis étant déclarés sans danger pour la sécurité nationale. Mais un avocat a démontré que la CIA et la NSA continuent de recueillir des témoignages.
- Retour sur un épisode controversé qui a eu lieu en 1980 sur une base américaine de l'OTAN en Angleterre. Des militaires affirment avoir vu un engin au dessus de la forêt de Rendlesham. 
- Aux Etats-Unis, un ancien chercheur de la NASA recense les témoignages de pilotes civils.
- A Phoenix, capitale de l'Arizona, des lumières sont apparues dans le ciel en mars 1997 mais aucune enquête officielle n'a été ouverte afin d'éviter la panique.  

TEMOIGNAGES :
- Yves SILLARD, ancien directeur général du CNES.
- Ray BOWYER, commandant de bord.
- Marc ANGEE, contôleur aérien.
- Commandant Laurent BARRUE, Gendarmerie nationale.
- Jack KRINE, ancien pilote de la Patrouille de France.
- François LOUANGE, spécialiste en analyse d'images, expert GEIPAN.
- Jacques PATENET, responsable du GEIPAN.
- Denis LETTY, général de division de l'armée de l'air.
- Commandant Frédéric SOLANO, responsable du département Media à l'Armée de l'Air.
- Professeur Elring STRAND, université d'Ostfold en Norvège.
- Bjarne LILLEVOLD et Rutt Mary JOE, habitants d'Hessdalen, en Norvège, et témoins de phénomènes lumineux.
- Beate AANNESTAD, étudiante norvégienne.
- Jader MONARI, ingénieur italien.
- Massimo TEODORANI, astrophysicien italien.
- Commandant Julio Cesar CHAMORRO, Forces aériennes du Pérou.
- Commandant SANTA MARIA HUERTAS, pilote de chasse des Forces aériennes du Pérou.
- Major Sergio WERNER, Armée de l'air du Chili.
- Gustavo RODRIGUEZ, comité d'études des phénomènes aériens anormaux, Chili.
- Peter GERSTEN, avocat américain.
- Sergent James PENNISTON, armée américaine.
- Colonel Charles HALT, armée américaine.
- Nick POPE, ancien membre du ministère de la Défense britannique.
- Ian RIDPATH, astronome anglais.
- Richard HAINES, ancien chercheur de la NASA.
- Emma BARWOOD, ancienne adjointe à la mairie de Phoenix, Etats-Unis.
- Terri MANSFIELD, habitante de Phoenix, témoin d'un phénomène aérien inexplicable.
- Fife SYMINGTON, ancien gouverneur de l'Arizona."	"Pendant près d'un an Patrick des Mazery et Michel Despratx ont creusé, enquêté, rencontré des militaires de tout grade et de différents Etats. En France, en Grande-Bretagne, en Amérique latine, ils ont eu accès à des archives inédites et des témoignages exclusifs. Les ""pans"" (phénomènes aérospatiaux non identifiés) ne représentent plus un tabou et intéressent désormais les armées du monde entier. Lorsqu'il existe une photo ou une trace radar, par exemple, l'armée la soumet à un groupe de scientifiques spécialement recrutés. Le GEIPAN (Groupe d'étude et d'informations sur les phénomènes aérospatiaux non identifiés), l'un des services du CNES, forme les pilotes français à d'éventuelels rencontres aériennes. En France, on reconnaît ses phénomènes et on se donne les moyens d'enquêter. Comme au Pérou et au Chili, où des phénomènes multiples se sont manifestés, en Grande-Bretagne ou en Norvège, où des scientifiques travaillent d'arrache-pied avec les militaires. Seuls les Etats-Unis ont installé un black-out total depuis 1969, niant toute recherche ou observation liée aux ""pans"". Plusieurs ont pourtant eu lieu, de grande ampleur, et ont été volontairement démentis par les autorités."
"[Source France 3 Régions] :
Le ciel jurassien a réservé quelques surprises cet été. Une famille de Grande Rivière dit avoir observé un phénomène inhabituel. Ovni or not Ovni.

L'endroit  situé à 846 m d'altitude est plutot calme, et isolé...  etpourtant des choses curieuses semblent s'y passer, presque une nuit sur 2 depuis 15 jours. La première appartition remonte au 5 aout dernier. Le lendemain matin, la famille Vienney se rend dans le pré au dessus duquel  le mysterieux- objet semble avoir volé.  Présent lors de l'observation, Jérémy un ami de la famille  a essayé de prendre en photo la trace du supposé engin, sans succès.
La famille Vienney a ensuite comparé ses observations avec le vol d'un drone... La réponse est claire ce n'était pas ça... couleurs différentes, aucun bruit entendu et surtout le phénomène a duré plus d'une heure à chaque fois, une durée bien trop longue pour un drone.
Alors pour tenter de trouver une explication  nous nous sommes rendusà l'observatoire de Besançon. Sur son toit une caméra dite ""all sky""elle scrute le ciel 24h sur 24 et n'a rien observé de particulier ces derniers jours. Pour les scientifiques ce qui créé le doute, c'est presque toujours  un problème de perception..
Habitués à décortiquer les images du réseau fripon, les scientifiquesont ainsi identifié cette comète observée à Toulon  . Ils ont aussi travaillé sur ce curieux phénomène observé à Dax, d'après leurs études il s'agirait d'un papillon traversant l'axe de la caméra.
///"	"[Source France 3 Régions] :
Autres participants : VIENNEY VIRGINIE; VIENNEY PATRICE; LAURENCIN JEREMY
///

[Source France 3 Lisa : bancs titres] : 
 - OVNI Dans le ciel jurassien ?
 - Grande-Rivière (Jura)
 - Virginie Vienney
 - Patrice Vienney
 - Jérémy Laurencin
 - Françis Meyer Ingénieur de recherches à l'observatoire de Besançon"
"Déroulement de l'émission :

L'IMAGE DU JOUR : 
Igor et Grichka BOGDANOFF commentent des images nocturnes de rhinocéros de Java

1600 KM/H EN VOITURE !
Antoine BUENO parle du projet Bloodhound SSC, voiture capable d'aller à 1600 km/h. Son commentaire est complété par deux sujets d'illustration.

LE COEUR ARTIFICIEL : 
Peggy OLMI parle d'un projet de coeur artificiel révolutionnaire. Son commentaire est complété par un reportage.

NATURE : 
rubrique sur des expériences scientifiques présentée par Sacha BOLLET, complétée par un reportage

DES HOMMES SUR MARS :
Entretien en plateau avec Francis ROCARD, astrophysicien responsable des programmes d'exploration du système solaire au CNES à propos des projets d'envoyer des hommes sur mars, et des projets spatiaux d'exploration de Titan, satellite de Saturne. Entretien complété par deux reportage sur un projet monté par la Nasa, et sur l'exploration de Titan."	"[Source : communiqué de presse France 2]

samedi 29 novembre 2008 à 17h50

Science C

Science X est le grand rendez-vous de la science sur France 2 présenté par Igor et Grichka Bogdanoff avec la présence dans le public des principaux personnages de la mythique ' Guerre des étoiles '.
Images étonnantes, prouesses technologiques, démonstrations 3 D : Igor et Grichka vous invitent à découvrir le monde et l'univers tels que vous ne les avez jamais vus. Du ' big bang ' au ' trou noir ', des origines de la vie aux secrets de la matière, du mystère de
l'infiniment petit aux merveilles de l'infiniment grand, des robots intelligents aux créatures extraterrestres, les célèbres jumeaux et leur équipage vous entraînent dans un fabuleux voyage. Entre plateau et reportages, ils passent au crible l'actualité de la science. Mieux encore, toujours en avance sur leur temps, ils nous embarquent pour des explorations inédites dans l'avenir proche ou
lointain. Chaque samedi à 17h50, vous serez accueilli dans un décor futuriste à l'intérieur d'un vaisseau qui survole une ville de l'espace.

L'émission s'articule en 3 temps :
> Le bloc note
Le bloc note passe en revue l'actualité de la science dans
ce qu'elle a de plus nouveau et de plus spectaculaire.
Autour d'Igor et Grichka : - Sacha Bollet, nous invite à percer les mystères de la nature et des animaux.
- Antoine Bueno, nous fait découvrir les nouvelles technologies et les recherches dans le domaine de la physique qui vont changer notre vie quotidienne. 
- Peggy Olmi, va nous révéler les toutes dernières
découvertes sur la santé et la médecine.
> L'événement de la semaine
Science X aborde une question qui agite les consciences
et propose d'y apporter une réponse avec un reportage
enquête et un spécialiste en plateau.
> L'exploration
Science X vous invite à un fascinant voyage du passé
vers l'avenir, de l'infiniment petit à l'infiniment grand, à
l'infiniment lointain...
Cette semaine dans Science X :
> Une invention porteuse d'un immense espoir :
pour la première fois, un coeur entièrement
artificiel vient d'être fabriqué.
> Vous embarquerez à bord d'une voiture
capable de franchir le mur du son et d'atteindre
1 600 Km/h.
> Notre grande enquête sera consacrée à Mars
et nous recevrons Francis Rocard, responsable
des programmes d'exploration du Système
solaire au Centre National d'Etudes Spatiales. Il
est l'un des plus grands spécialistes de Mars et
avec lui, nous découvrirons quand et comment
l'homme ira sur la planète rouge, à plus de 100
millions de kilomètres de chez nous ? Que va til
y chercher et surtout que va t-il y trouver ?
> Et enfin, nous vous emmènerons en voyage
vers les anneaux de Saturne, aux confins du
système solaire, jusqu'au seul satellite à
posséder une atmosphère : Titan ! A quoi
ressemblent ses paysages ? Quels sont les
climats que l'on y trouve ? Et est-ce que la vie,
une vie au moins microscopique, pourrait
exister là-bas ?
contact presse Valérie Mathieu > 01 56 22 43 58 - valerie.mathieu@france2.fr
Retrouvez cette"
"- L'EVENEMENT : entretien avec Julien DRAY, député socialiste, auteur de ""L'épreuve"" (Le Cherche Midi). Il raconte ses démêlés avec la justice face à des accusations de détournement de fonds et d'abus de confiance.
Portrait de l'invité, avec un retour sur sa carrière politique.

- CULTURE, GLOIRE ET SUBVENTIONS : feuilleton humoristique sur la semaine du ministre de la culture Frédéric Mitterrand (épisode 2).

- LE DEBAT : Harcèlement, quand les salariés sont déshumanisés.
Franz-Olivier GISBERT reçoit Ivan du ROY, journaliste, auteur de ""Orange stressé : Le management par le stress à France Télécom"" (La Découverte), Xavier DARCOS, ministre du Travail, Delphine de VIGAN, écrivain, auteur de ""Les heures souterraines"" (Lattès), Patrick LEGERON, psychiatre, Paul MOREIRA, journaliste, écrivain, auteur avec Hubert Prolongeau de ""Travailler à en mourir : quand le monde de l'entreprise mène au suicide"" (Flammarion), et Mathias GOKALP, réalisateur du film ""Rien de personnel"".

- L'INVITE : entretien avec la comédienne Valérie LEMERCIER, pour parler de son rôle dans le film ""Le petit Nicolas"" de Laurent Tirard et de son one woman show à l'Olympia.
Extrait du ""Petit Nicolas"".

- DEBAT : Des folles aux gays
Court sujet d'Ali Rheibihi sur l'évolution de l'image des homosexuels au cinéma et au théâtre.
A l'occasion de la reprise de ""La cage aux folles"" au théâtre avec Didier Bourdon et Christian Clavier, de nombreux homosexuels pensent que l'on revient en arrière, avec une pièce qui véhicule des caricatures.
Pour en parler, Franz-Olivier GIESBERT reçoit Christophe GIRARD, adjoint au maire de Paris en charge de la culture, l'écrivain Abha DAWESAR, auteur de ""L'Inde en héritage"" (Héloïse d'Ormesson), Laurent KERUSORE, comédien dans ""Plus belle la vie"", et Pascal HOUZELOT, président-fondateur de Pink TV

- QUAND J'ENTENDS LE MOT CULTURE... : chronique humoristique de Tanguy PASTUREAU. 

- FACE A FACE : Quand les scientifiques croient aux extraterrestres!
Court sujet de Thibault Nolte sur les extra-terrestres au cinéma et à la télévision.
Franz-Olivier GIESBERT reçoit Trinh Xuan Thuan, astrophysicien, auteur de ""Dictionnaire amoureux du ciel et les étoiles"" (Plon/Fayard), et Jean-Pierre LUMINET, astrophysicien, auteur de ""Les bâtisseurs du ciel : l'oeil de Galilée"" (Lattès)"	"* L'invité événement : Julien Dray, député PS de l'Essonne, auteur de ""L'épreuve"" (Le Cherche Midi)

* Débat polémique : ""Travail, stress, harcèlement"" avec Xavier Darcos, ministre du Travail

- Delphine de Vigan, écrivain, auteur de ""Les heures souterraines"" (Lattès)

- Yvan du Roy, journaliste, auteur de ""Orange stressé Le management par le stress à France Télécom"" (La Découverte)

- Paul Moreira, journaliste, écrivain, auteur avec Hubert Prolongeau de ""Travailler à en mourir"" (Flammarion)

- Patrick Légeron, psychiatre

* Invitée : Valérie Lemercier, comédienne dans ""Le petit Nicolas"" de Laurent Tirard et son one woman show à L'Olympia

* Débat : ""Des folles aux gays""

- Abha Dawesar, écrivain, auteur de ""L'Inde en héritage"" (Héloïse d'Ormesson)

- Pascal Houzelot, ancien président de Pink TV

- Christophe Girard, adjoint au Maire de Paris en charge de la culture

- Laurent Kérusoré, comédien dans ""Plus belle la vie""

* Face à face : ""Y a-t-il vraiment des extraterrestres ?""

- Trinh Xuan Thuan, astrophysicien, auteur de ""Dictionnaire amoureux du ciel et les étoiles"" (Plon/Fayard)

- Jean-Pierre Luminet
Astrophysicien, auteur de ""Les bâtisseurs du ciel, Tome 3, L'oeil de Galilée"" (Lattès)"
"- [Séquence 1, pré-générique] : Présentation de l'église de Scientologie et des principaux protagonistes du film. 

- [Séquence 2 : introduction] : Présentation du président américain de l'église de Scientologie aux Etats-Unis Mr David Miscavige, qui depuis 1986, est le numéro un de la Scientologie mondiale, puis de Alain Rosenberg, numéro un de la Scientologie en France et présentation de l'actualité de la secte en France à savoir, le procès en cours, depuis le 25 mai 2010, auprès de la 12ème chambre correctionnelle de Paris pour ""escroquerie en bande organisée"", intenté par des ex-adeptes de la secte. Les victimes espèrent obtenir la dissolution de l'organisation qui, elle, s'estime visée par un ""procès en hérésie"".

[Séquence 3 : Qu'est-ce que la Scientologie ? : L'opinion des experts] : Portrait du fondateur, en 1950, de l'église de Scientologie et écrivain américain Lafayette Ronald Hubbard, dont le corps est enseveli aujourd'hui dans un mausolée au coeur du désert du nouveau Mexique. Tous ses écrits et enregistrements sont conservés avec lui dans des coffres en titane indestructibles. Un repère dont il espère renaître et qu'il a rendu visible aux extraterrestres. 
L'église de Scientologie, est une ""pseudo-religion"", un mélange de sciences occultes servant à l'endoctrinement par le biais du ""fantasme"" d'intégration de toutes les religions. Selon les experts, l'église procède au ""renversement projectif"" ou système paranoïaque (le bourreau devient le sauveur ; le système délirant devient la norme). L'église recrute principalement dans la rue et le plus souvent grâce des tests de personnalité. Elle conditionne ses adeptes en s'inspirant des méthodes de la psychologie comportementaliste des années 50 (expériences de conditionnement mental pratiquées par la CIA et d'autres techniques de développement personnel utilisées dans les entreprises américaines à cette époque). Elle utilise un matériel de mesure nommé ""l'électromètre"", censé mesurer l'état mental des adeptes. Elle propose un programme de prévention et de réhabilitation des drogués nommé ""Narconon"". La secte possède également la ""Sea org"", une organisation paramilitaire basée sur un luxueux paquebot le ""Freewinds"", sorte d'université flottante pour former l'élite de la Scientologie sur la mer des caraïbes. La secte propose un traitement médicamenteux (mélange de vitamines surdosées proposant d'éliminer du corps des adeptes, toutes sortes de pollutions) et d'autres programmes de purification du corps (sudation grâce au sport, au sauna etc...) s'avérant dangereux pour la santé, aux dires des experts. La secte possède enfin un système de surveillance et de délation des adeptes : les officiers d'éthique sont chargés de surveiller les adeptes et d'attribuer des punitions.

- [Séquence 4 : Portraits et témoignages d'anciens adeptes] : 

- Portrait d'un quinquagénaire prénommé Didier, ancien adepte, endoctriné à l'église des Batignolles à Paris au ""Celebrity Center"", spécialiste du milieu artistique. Son histoire a débuté par un test de personnalité et la proposition d'une thérapie développementale adaptée à son cas. Au bout de trois mois, celle-ci s'avère dangereuse pour lui. L'aspect financier insurmontable l'éveille à la réalité de la secte (soit une dette de 25.000 euros en cinq mois). Il quitte la ""Celebrity Center"", en décembre 2009, mais la secte le relance à plusieurs reprises, notamment pour entrer à la ""Sea org"" : il a reçu un bulletin de souscription à vie moyennant la somme de 5.000 dollars.

- Portrait d'Alain STOFFEN, pianiste quinquagénaire, aujourd'hui professeur de piano en région parisienne. Il a été endoctriné en 1985 en prenant un poste d'enseignant à ""l'Ecole du rythme"" à Paris ; une école où la plupart des professeurs sont scientologues. Attiré par les stars internationales qui s'affichent dans l'école (dont le célèbre artiste de Jazz Chick Choréa), il prend de l'assurance et se prête à rêver à sa propre célébrité. Son séjour au siège européen de la Scientologie à Copenhague le détruit physiquement, psychologiquement et financièrement en cinq semaines. Alain STOFFEN a porté plainte en 2002, l'instruction est en cours.

- Portrait d'un ancienne cadre de la Scientologie quinquagénaire Maria PIA GARDINI qui raconte que l'église de scientologie a sorti sa fille de l'emprise de la drogue avant de l'endoctriner et de l'éloigner d'elle. Pour revoir sa fille, elle est entrée dans la secte et a gravi tous ses échelons, en vain. Elle a porté plainte aux USA. Sa requête a été rejetée.

- Portrait d'une femme quadragénaire prénommée Mylène, ancienne cadre de la Scientologie qui raconte son embrigadement puis celui de ses deux enfants. Persuadée du bien fondé de l'idéal de la Scientologie, petite à petit, elle s'aperçoit du mal qu'elle a causé à ses enfants et à son entourage. Elle est aujourd'hui endettée d'une somme de 1,1 millions d'euros et toujours sans nouvelles de ses enfants. 

- Témoignage anonyme d'une jeune femme prénommée Louise (cadrage en contre-jour) qui se retrouve aujourd'hui avec plus de 300.000 euros de dette. Elle a porté plainte en 2005. L'instruction est en cours.

- Témoignages de Gwenn et Mathilde LE BERRE et de leur père Pascal concernant le suicide de leur mère et épouse, endoctrinée par la secte. Ils ont porté plainte en 2008. L'enquête est en cours.

- [Séquence 5 : Liste des autres personnes interviewées dans le film documentaire] : 
- [LES TEMOINS SCIENTOLOGUES] : 
- Sean SHEAHAN, Professeur à Dublin.
- Michel RAOUST, polytechnicien.
- Cyprien KATSARIS, pianiste.
- Danièle GOUNORD, porte-parole de la Scientologie à Paris. 

- [LES EXPERTS]  :
- Maître Olivier MORICE, avocat des parties civiles contre la scientologie.
- Maître Rodolphe BOSSELUT, avocat, spécialisé dans les affaires sectaires. 
- Roger GONNET, ancien cadre de la Scientologie repenti et ancien responsable de l'antenne lyonnaise.
- Emmanuel DIET, psychologue, psychanalyste, spécialiste des victimes des dérives sectaires.  
- Russell MILLER, journaliste, auteur d'un essai ""Bare-Faced Messiah. The true story of L. Ron Hubbard"" (éditions Michael Joseph livres).
- Docteur Monique HORWITZ, médecin généraliste.
- Docteur Nathalie BRION, expert en pharmacologie clinique et toxicologie.
- Dena OLIVIER, psychologue, spécialiste des victimes et dérives sectaires."	"[Sources site internet : tele.premiere.fr]
La case Infrarouge accueillera un prochain documentaire le 27 mai 2010, une petite bombe à l'encontre de la Scientologie, la secte ou l' ""Église"" encore trop peu accusée aujourd'hui. Scientologie : la vérité sur un mensonge donnera la parole à de nombreux adeptes et ex-adeptes prêt à s'exprimer sur le sujet.
Jean-Charles Deniau signe un nouveau documentaire d'investigation qui est annoncé pour faire du bruit. France 2 consacrera sa 2ème partie de soirée du 27 mai prochain à Scientologie : la vérité sur un mensonge.
L'""empire"" fondé par cette Eglise dans le monde est souvent critiqué mais jamais réellement expliqué, décortiqué. Cette fois, la case Infrarouge sur France 2 s'en charge et grâce aux nombreux témoignages d'ex et actuels adeptes de la secte dévoilera tout ce que le public ne connait pas vraiment.
Entre manipulation psychologique, rupture de vie sociale et comptes en banques dévalisés, les témoins interrogés par Jean-Charles Deniau feront la lumière sur cette ""Eglise"" fondée en 1954 par Ron Hubbard.
Ce documentaire arrive au moment où la Scientologie vient tout juste condamnée pour escroquerie en bande organisée en France. Jeudi 27 mai 2010, en 2ème partie de soirée, Scientologie : la vérité sur un mensonge devrait répondre à toutes vos questions."
"INTERVENANTS :
- Athéna COUSTENIS astrophysicienne responsable Europe de la Mission Titan/Esa/NASA/CNRS/ Observatoire de Paris Meudon
- Annie BAGLIN astrophysicienne responsable scientifique de la Mission Corot/CNRS/Observatoire de Paris Meudon
- Olivier VANDERMARCQ responsable d'exploitation Mission Corot CNES Toulouse
- Marc OLLIVIER astronome Institut d'Astrophysique Spatiale CNRS/Université Paris Sud Orsay
- Michel MAYOR astrophysicien Observatoire de Genève Suisse, membre associé étranger de l'Académie des Sciences
- Geoffrey MARCY astronome University of California Berkeley Californie USA
- François RAULIN président de la société française d'exobiologie Université Paris 12 USA
- Shawn DOMAGAL-GOLDMAN astrobiologiste Virtual Planet Laboratory University of Washington Seattle Washington USA
- Michel VISO exobiologiste CNRS
- Duncan FORGAN astronome Royal Observatory of Edinburgh Ecosse Grande Bretagne
- Seth SHOSTAK astronome SETI Institute Mountain View USA
- Jean Michel MARTIN responsable scientifique Station de Radioastronomie de Nançay Observatoire de Paris
- Elisabeth PIOTELAT ingénieur UMSI/CNRS Nançay représentante française de la SETI League
- Douglas VAKOCH responsable des messages interstellaires SETI Institute Mountain View Californie USA
- Peter WARD paléontologue University of Washington  Seattle USA"	Les astronomes partent à la recherche de la vie et de l'intelligence dans l'espace. Quelles sont les conditions permettant l'apparition de la vie sur les autres mondes ? A quoi pourrait-elle ressembler ? Comment communiquer avec elle ? Et comment se déroulerait le premier contact ? Igor et Grichka Bogdanoff reçoivent Athéna Coustenis, astrophysicienne, Annie Baglin, astronome, Olivier Vandermarcq, directeur d'exploitation de COROT, Marc Ollivier, astrophysicien, Michel Mayor, astronome, Geoffrey Marcy, astronome, François Raulin, exobiologiste, Shawn Domagal-Goldman, astrobiologiste, Michel Viso, exobiologiste, Duncan Forgan, astronome, Seth Shostak, astronome, Jean-Michel Martin, astrophysicien, Elisabeth Piotelat, ingénieur, Douglas Vakoch, responsable des messages interstellaires, Peter Ward, paléontologue.
	"RECHERCHES
Les sentinelles de l'espace (Etats-Unis)
C'était il y a un demi-siècle. Des scientifiques américains ""écoutaient"" pour la première
fois l'espace avec un objectif précis : capter un message envoyé par une éventuelle vie
extraterrestre. 50 ans plus tard, c'est dans un centre de recherche ultra sophistiqué que
150 chercheurs continuent à accomplir cette mission très spéciale : le SETI."
	[Source : prompteur France 2
"Liste des intervenants :
- Jacques ARNOULT, Chargé de Mission Ethique, Cnes
- Jacques PATENET, retraité, ancien responsable du Geipan au Cnes
- Jack KRINE, ancien pilote de chasse
- Stéphane CAPLIEZ, responsable Nouvelles Technologies, Ville de Paris
- Christian COMTESSE, des Repas Ufologiques strasbourgeois  
- Egon KRAGEL et Yves COUPRIE, auteurs du livre ""Ovnis""
- Gildas BOURDAIS, auteur du livre ""Ovni : vers la fin du secret""  
- Francine FOUERE, veuve de René Fouéré, pionnier de l'ufologie en France
- Éric MAILLOT, démystificateur d'Ovnis, membre du Cercle Zététique, auteur du livre ""Les Ovnis et le Cnes""  
- Yvan BLANC, responsable du Geipan, CNES, Toulouse  
- François LOUANGE, analyste et consultant en imagerie argentique et numérique  
- Adjudant Érik VERFAILLIE, gendarmerie de Saint-Alban (31) 
- Pascal BULTEL, ingénieur concepts avancés, Cnes  
- Jean-Claude RIBES, polytechnicien et écrivain spécialiste des Ovnis  
- Emmanuel DAVOUST, astronome, Observatoire Midi-Pyrénées, Toulouse."	"[Source iMedia]
Une institution prestigieuse, le Centre national d'Etudes spatiales, a accepté d'ouvrir ses portes et ses dossiers pour répondre aux questions concernant la vie extraterrestre. Quelles sont, aujourd'hui encore, les observations qui résistent à l'analyse ? Comment distinguer le vrai du faux ? Si les ovnis viennent d'un autre monde, comment ont-ils traversé les gouffres de l'espace ? Et pourquoi leurs 'passagers' semblent-ils fuir les humains ? Des ingénieurs du CNES et des astronomes répondent. Enfin, s'il s'agit d'un mythe, comment expliquer son étonnante longevité, soixante ans après les premiers témoignages évoquant des objets volants non identifiés ?

Dernier épisode de la série ""A deux pas du futur"" d'Igor et Grichka Bogdanoff Les Ovnis cartes sur table ! Une institution prestigieuse, le Cnes, l'Agence Spatiale Française, a accepté de nous ouvrir
ses portes et ses dossiers. Quelles sont, aujourd'hui encore, les observations qui résistent à l'analyse ? Comment déceler le vrai du faux ? Si les Ovnis viennent d'un autre monde, comment ont-ils
traversé les gouffres de l'espace ? Et pourquoi leurs ""passagers"" semblent-ils nous fuir ? Les ingénieurs du Cnes et les astronomes répondent. Enfin, s'il s'agit d'un mythe, comment expliquer son étonnante longevité soixante ans après ?"
"Les personnes interviewées au cours de ce documentaire sont :

- Andrew COLLIER CAMERON : professeur d'astronomie à l'université Saint Andrew.
- Magali DELEUIL : professeur en astronomie au laboratoire d'astrophysique de Marseille.
- François BOUCHY : astronome à l'institut d'astrophysique de Paris et à l'observatoire de Haute-Provence.
- André BRACK : exobiologiste au centre de biophysique moléculaire, CNRS, Orléans.
- Michel MAYOR : professeur d'astrophysique à l'université de Genève.
- Geoff MARCY, professeur en astronomie à l'université de Californie, Berkeley.
- Francesco PEPE, astronome à l'observatoire astronomique de l'université de Genève.
- Jean-Philippe BERGER, astronome, ESO.
- Olivier LA MARLE, responsable du thème astronomie au CNES.
- Thomas HENNING, directeur de l'Institut Max Plank d'astronomie.
- Luc ARNOLD, ingénieur de recherche à l'observatoire de Haute-Provence.
- Serguei V. AVDEEV, cosmonaute et professeur à l'université nationale de recherche nucléaire de Moscou."	"[Source iMedia]
La vie telle que nous la connaissons sur Terre est-elle possible sur d'autres planètes dans le système solaire ? Le point sur les découvertes.
La vie est-elle possible ailleurs que sur Terre ? Sommes-nous seuls dans l'univers ? Depuis que les chercheurs suisses Michel Mayor et Didier Queloz ont découvert les premières exoplanètes, des centaines de planètes en dehors du système solaire et qui réunissent certaines des conditions nécessaires à l'apparition d'une forme de vie, ont été localisées. Dans le désert d'Atacama, au Chili, un spectomètre installé sur un télescope géant est capable de détecter les variations les plus faibles des astres célestes et peut ainsi fournir des données très précieuses sur des planètes de taille équivalente à la Terre."
	"[Source : site internet de l'émission]
C'est une île au large du Brésil où de curieuses observations ont été faites. Des témoignages troublants et même des clichés photographiques font l'objet depuis des décennies, d'expertises de toutes sortes. L'île de Trindade est-elle ou a-t-elle été un repaire pour les ovnis?
En tous cas, l'ile perdue dans l'Atlantique est depuis sortie de son anonymat en devenant un centre d'intérêt pour tous les amateurs de mystères mais aussi pour les scientifiques qui trouvent dans ce paradis naturel intouché  de quoi alimenter leurs recherches.
Thalassa a enquêté sur place pour découvrir ce qui s'est vraiment passé à Trindade."
